Date,Channel,Sessions,Transactions,Conversion Rate,AOV,Revenue,CPA,Cost,Month,day,Quarters,Day,Week,Year,BiWeek,Holiday
4/25/2016,Channel D,4698,384,0.081839484,80.1,30797,19,5851,4,,Q2,0,17,2016,bw9,14 day prior Motherday
4/25/2016,Channel C,5012,360,0.071824303,72.32,26034,8,2083,4,,Q2,0,17,2016,bw9,14 day prior Motherday
4/25/2016,Channel B,366,32,0.086563242,77.52,2456,25,614,4,,Q2,0,17,2016,bw9,14 day prior Motherday
4/25/2016,Channel A,2714,462,0.170311174,77.14,35656,6,2139,4,,Q2,0,17,2016,bw9,14 day prior Motherday
4/26/2016,Channel A,3091,550,0.177815962,75.5,41497,4,1660,4,,Q2,1,17,2016,bw9,13 day prior Motherday
4/26/2016,Channel C,13010,577,0.044312357,74.48,42938,8,3435,4,,Q2,1,17,2016,bw9,13 day prior Motherday
4/26/2016,Channel D,5408,525,0.09710092,82.12,43123,13,5606,4,,Q2,1,17,2016,bw9,13 day prior Motherday
4/26/2016,Channel B,302,38,0.127139733,69.46,2667,19,507,4,,Q2,1,17,2016,bw9,13 day prior Motherday
4/27/2016,Channel D,11191,1401,0.125152972,80.08,112159,13,14581,4,,Q2,2,17,2016,bw9,12 day prior Motherday
4/27/2016,Channel C,14132,1208,0.085459306,70.29,84890,10,8489,4,,Q2,2,17,2016,bw9,12 day prior Motherday
4/27/2016,Channel B,6900,299,0.043270071,73.79,22031,20,4406,4,,Q2,2,17,2016,bw9,12 day prior Motherday
4/27/2016,Channel A,6855,1270,0.185287919,78.69,99948,5,4997,4,,Q2,2,17,2016,bw9,12 day prior Motherday
4/28/2016,Channel D,12372,1682,0.13598498,82.87,139421,20,27884,4,,Q2,3,17,2016,bw9,11 day prior Motherday
4/28/2016,Channel C,10701,1112,0.103932852,73.12,81323,10,8132,4,,Q2,3,17,2016,bw9,11 day prior Motherday
4/28/2016,Channel B,2591,211,0.081515591,75.4,15925,15,2389,4,,Q2,3,17,2016,bw9,11 day prior Motherday
4/28/2016,Channel A,7484,1433,0.191441398,78.51,112485,6,6749,4,,Q2,3,17,2016,bw9,11 day prior Motherday
4/29/2016,Channel D,13695,1653,0.120715729,81.67,135017,12,16202,4,,Q2,4,17,2016,bw9,10 day prior Motherday
4/29/2016,Channel C,12838,1398,0.108906194,69.27,96849,11,10653,4,,Q2,4,17,2016,bw9,10 day prior Motherday
4/29/2016,Channel B,1546,158,0.102139137,72.34,11423,33,3770,4,,Q2,4,17,2016,bw9,10 day prior Motherday
4/29/2016,Channel A,8020,1474,0.183744412,77.93,114840,9,10336,4,,Q2,4,17,2016,bw9,10 day prior Motherday
4/30/2016,Channel A,8329,1506,0.180837259,76.37,115028,7,8052,4,,Q2,5,17,2016,bw9,9 day prior Motherday
4/30/2016,Channel B,4270,246,0.057554112,73.87,18154,31,5628,4,,Q2,5,17,2016,bw9,9 day prior Motherday
4/30/2016,Channel D,13665,1577,0.115385641,78.09,123128,12,14775,4,,Q2,5,17,2016,bw9,9 day prior Motherday
4/30/2016,Channel C,12243,1569,0.12811948,74.03,116121,7,8128,4,,Q2,5,17,2016,bw9,9 day prior Motherday
5/1/2016,Channel D,13850,1768,0.127635037,77.57,137124,17,23311,5,,Q2,6,17,2016,bw9,8 day prior Motherday
5/1/2016,Channel C,10869,1403,0.129050236,73.29,102800,9,9252,5,,Q2,6,17,2016,bw9,8 day prior Motherday
5/1/2016,Channel B,3526,285,0.08072221,76.04,21643,24,5194,5,,Q2,6,17,2016,bw9,8 day prior Motherday
5/1/2016,Channel A,10385,1690,0.162746272,75.81,128128,8,10250,5,,Q2,6,17,2016,bw9,8 day prior Motherday
5/2/2016,Channel D,9397,1101,0.11718291,78.78,86750,18,15615,5,,Q2,0,18,2016,bw9,7 day prior Motherday
5/2/2016,Channel C,12204,1381,0.113190463,73.67,101766,6,6106,5,,Q2,0,18,2016,bw9,7 day prior Motherday
5/2/2016,Channel B,1447,157,0.108463518,73.56,11545,27,3117,5,,Q2,0,18,2016,bw9,7 day prior Motherday
5/2/2016,Channel A,7673,1311,0.170847666,75.59,99092,5,4955,5,,Q2,0,18,2016,bw9,7 day prior Motherday
5/3/2016,Channel D,13575,1961,0.144471874,78.13,153229,15,22984,5,,Q2,1,18,2016,bw9,6 day prior Motherday
5/3/2016,Channel C,17512,2667,0.152317083,73.23,195332,6,11720,5,,Q2,1,18,2016,bw9,6 day prior Motherday
5/3/2016,Channel B,1568,220,0.140208305,75.63,16627,22,3658,5,,Q2,1,18,2016,bw9,6 day prior Motherday
5/3/2016,Channel A,12892,2224,0.172540716,73.13,162670,3,4880,5,,Q2,1,18,2016,bw9,6 day prior Motherday
5/4/2016,Channel A,21476,4683,0.218034132,73.49,344117,6,20647,5,,Q2,2,18,2016,bw9,5 day prior Motherday
5/4/2016,Channel C,27064,4386,0.162053045,70.37,308629,12,37035,5,,Q2,2,18,2016,bw9,5 day prior Motherday
5/4/2016,Channel D,28398,4759,0.167572722,77.49,368754,10,36875,5,,Q2,2,18,2016,bw9,5 day prior Motherday
5/4/2016,Channel B,18069,2867,0.158651097,70.65,202530,35,70886,5,,Q2,2,18,2016,bw9,5 day prior Motherday
5/5/2016,Channel A,27208,6369,0.234073793,73.85,470327,10,47033,5,,Q2,3,18,2016,bw9,4 day prior Motherday
5/5/2016,Channel D,32547,5932,0.18226708,79.14,469478,12,56337,5,,Q2,3,18,2016,bw9,4 day prior Motherday
5/5/2016,Channel B,9174,1982,0.216039455,73.28,145237,23,33405,5,,Q2,3,18,2016,bw9,4 day prior Motherday
5/5/2016,Channel C,32486,6823,0.210028529,74.26,506675,7,35467,5,,Q2,3,18,2016,bw9,4 day prior Motherday
5/6/2016,Channel A,31295,7581,0.242243812,73.13,554400,3,16632,5,,Q2,4,18,2016,bw9,3 day prior Motherday
5/6/2016,Channel D,37835,7368,0.19474727,79.56,586219,20,117244,5,,Q2,4,18,2016,bw9,3 day prior Motherday
5/6/2016,Channel B,7464,1714,0.229654857,74.52,127738,26,33212,5,,Q2,4,18,2016,bw9,3 day prior Motherday
5/6/2016,Channel C,33952,7845,0.231050542,74.46,584111,5,29206,5,,Q2,4,18,2016,bw9,3 day prior Motherday
5/7/2016,Channel A,31745,7541,0.237549889,75.4,568593,4,22744,5,,Q2,5,18,2016,bw9,2 day prior Motherday
5/7/2016,Channel D,39417,7471,0.189536816,78.34,585276,15,87791,5,,Q2,5,18,2016,bw9,2 day prior Motherday
5/7/2016,Channel C,29583,6399,0.216307374,75.59,483702,9,43533,5,,Q2,5,18,2016,bw9,2 day prior Motherday
5/7/2016,Channel B,14667,2281,0.155547462,74.79,170627,24,40950,5,,Q2,5,18,2016,bw9,2 day prior Motherday
5/8/2016,Channel A,31766,6567,0.206740535,79.1,519475,10,51948,5,,Q2,6,18,2016,bw9,1 day prior Motherday
5/8/2016,Channel D,42460,6810,0.16037544,82.17,559540,18,100717,5,,Q2,6,18,2016,bw9,1 day prior Motherday
5/8/2016,Channel C,28584,5395,0.188733468,79.16,427049,12,51246,5,,Q2,6,18,2016,bw9,1 day prior Motherday
5/8/2016,Channel B,6392,1198,0.187426097,76.05,91110,29,26422,5,,Q2,6,18,2016,bw9,1 day prior Motherday
5/9/2016,Channel D,29413,3610,0.122735988,83.32,300788,18,54142,5,,Q2,0,19,2016,bw10,0 day prior Motherday
5/9/2016,Channel C,17129,2292,0.133782883,81.11,185869,7,13011,5,,Q2,0,19,2016,bw10,0 day prior Motherday
5/9/2016,Channel B,3192,397,0.12450481,77.5,30800,16,4928,5,,Q2,0,19,2016,bw10,0 day prior Motherday
5/9/2016,Channel A,18731,3349,0.178768856,79.7,266877,10,26688,5,,Q2,0,19,2016,bw10,0 day prior Motherday
4/30/2017,Channel B,1421,225,0.158339198,63.11,14200,25,3550,4,,Q2,6,17,2017,bw9,14 day prior Motherday
4/30/2017,Channel C,4627,656,0.141776529,61.91,40613,10,4061,4,,Q2,6,17,2017,bw9,14 day prior Motherday
4/30/2017,Channel A,4386,925,0.210898313,59.51,55047,4,2202,4,,Q2,6,17,2017,bw9,14 day prior Motherday
4/30/2017,Channel D,6678,690,0.103324349,61.11,42166,20,8433,4,,Q2,6,17,2017,bw9,14 day prior Motherday
5/1/2017,Channel D,12930,1661,0.128460944,62.78,104278,17,17727,5,,Q2,0,18,2017,bw9,13 day prior Motherday
5/1/2017,Channel C,12564,1766,0.140560331,56.38,99567,12,11948,5,,Q2,0,18,2017,bw9,13 day prior Motherday
5/1/2017,Channel B,3352,540,0.161097852,65.69,35473,31,10997,5,,Q2,0,18,2017,bw9,13 day prior Motherday
5/1/2017,Channel A,7080,1583,0.223587571,60.85,96326,6,5780,5,,Q2,0,18,2017,bw9,13 day prior Motherday
5/2/2017,Channel B,7013,778,0.110936832,62.5,48625,27,13129,5,,Q2,1,18,2017,bw9,12 day prior Motherday
5/2/2017,Channel C,12693,1628,0.128259671,56.94,92698,11,10197,5,,Q2,1,18,2017,bw9,12 day prior Motherday
5/2/2017,Channel A,8879,1843,0.20756842,60.01,110598,3,3318,5,,Q2,1,18,2017,bw9,12 day prior Motherday
5/2/2017,Channel D,14241,1862,0.130749245,62.23,115872,14,16222,5,,Q2,1,18,2017,bw9,12 day prior Motherday
5/3/2017,Channel D,14974,1949,0.130158942,62.9,122592,13,15937,5,,Q2,2,18,2017,bw9,11 day prior Motherday
5/3/2017,Channel C,15486,1873,0.120947953,55.35,103671,6,6220,5,,Q2,2,18,2017,bw9,11 day prior Motherday
5/3/2017,Channel B,6715,947,0.14102755,63.05,59708,23,13733,5,,Q2,2,18,2017,bw9,11 day prior Motherday
5/3/2017,Channel A,9484,2150,0.226697596,59.86,128699,10,12870,5,,Q2,2,18,2017,bw9,11 day prior Motherday
5/4/2017,Channel D,15843,2068,0.130530834,62.9,130077,15,19512,5,,Q2,3,18,2017,bw9,10 day prior Motherday
5/4/2017,Channel C,20553,2205,0.107283608,59.43,131043,12,15725,5,,Q2,3,18,2017,bw9,10 day prior Motherday
5/4/2017,Channel B,21851,1712,0.078348817,61.83,105853,35,37049,5,,Q2,3,18,2017,bw9,10 day prior Motherday
5/4/2017,Channel A,11777,2305,0.195720472,59.62,137424,3,4123,5,,Q2,3,18,2017,bw9,10 day prior Motherday
5/5/2017,Channel A,10543,2246,0.213032344,61.21,137478,9,12373,5,,Q2,4,18,2017,bw9,9 day prior Motherday
5/5/2017,Channel B,29287,2925,0.099873664,59.75,174769,27,47188,5,,Q2,4,18,2017,bw9,9 day prior Motherday
5/5/2017,Channel C,16285,1990,0.122198342,60.63,120654,6,7239,5,,Q2,4,18,2017,bw9,9 day prior Motherday
5/5/2017,Channel D,15032,2128,0.141564662,61.71,131319,16,21011,5,,Q2,4,18,2017,bw9,9 day prior Motherday
